,Unnamed: 0,pair,lemma_sim,sent_sim,topic_sim,within_doc,wup_sim,coref_label,cos_sim_ab,cos_sim_ba,cos_sim,sem_total,syn_total,all_total,sem_label,LM_prediction,VIT_LM,LM_VIT,LM_SWIN,SWIN_LM,BEIT_LM,LM_BEIT,LM_CLIP,CLIP_LM,VIT+LM,SWIN+LM,BEIT+LM,CLIP+LM,VIT_LM_real,LM_VIT_real,SWIN_LM_real,LM_SWIN_real,BEIT_LM_real,LM_BEIT_real,CLIP_LM_real,LM_CLIP_real
10,10,"('36_1ecbplus.xml_56', '36_1ecbplus.xml_54')",1.0,0.5384615384615384,1.0,1.0,0.0,1,0.7870040535926819,0.7710438966751099,0.7790239751338959,2.779023975133896,2.5384615384615383,5.317485513595434,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
11,11,"('36_1ecbplus.xml_57', '36_11ecbplus.xml_31')",1.0,0.21052631578947367,1.0,0.0,1.0,1,0.4892489314079285,0.4630844295024872,0.4761666804552078,2.4761666804552083,1.2105263157894737,3.686692996244681,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1
12,12,"('36_1ecbplus.xml_57', '36_1ecbplus.xml_16')",1.0,0.13793103448275862,1.0,1.0,1.0,1,0.5657790899276733,0.5757056474685669,0.5707423686981201,3.57074236869812,2.137931034482759,5.708673403180879,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1
13,13,"('36_1ecbplus.xml_57', '36_1ecbplus.xml_55')",1.0,0.5384615384615384,1.0,1.0,1.0,1,0.6736801266670227,0.726312518119812,0.6999963223934174,3.699996322393418,2.5384615384615383,6.238457860854956,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1
14,14,"('36_2ecbplus.xml_107', '36_2ecbplus.xml_104')",1.0,0.2352941176470588,1.0,1.0,1.0,1,0.8200324773788452,0.8537216186523438,0.8368770480155945,3.8368770480155945,2.235294117647059,6.0721711656626525,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
15,15,"('36_2ecbplus.xml_39', '36_2ecbplus.xml_16')",1.0,0.2352941176470588,1.0,1.0,0.8,1,0.6378709673881531,0.618743896484375,0.628307431936264,3.4283074319362634,2.235294117647059,5.663601549583322,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1
16,16,"('36_2ecbplus.xml_40', '36_11ecbplus.xml_32')",1.0,0.2,1.0,0.0,0.16666666666666666,1,0.8050785064697266,0.776131272315979,0.7906048893928528,1.9572715560595195,1.2,3.1572715560595186,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
17,17,"('36_2ecbplus.xml_40', '36_1ecbplus.xml_17')",1.0,0.25925925925925924,1.0,0.0,0.16666666666666666,1,0.7607032656669617,0.771189272403717,0.7659462690353394,1.9326129357020057,1.2592592592592593,3.1918721949612654,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
18,18,"('36_2ecbplus.xml_40', '36_1ecbplus.xml_54')",1.0,0.16666666666666666,1.0,0.0,0.0,1,0.7120856642723083,0.6675938963890076,0.689839780330658,1.6898397803306582,1.1666666666666667,2.8565064469973254,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
19,19,"('36_2ecbplus.xml_40', '36_1ecbplus.xml_56')",1.0,0.17391304347826084,1.0,0.0,0.16666666666666666,1,0.7324983477592468,0.6958003640174866,0.7141493558883667,1.8808160225550328,1.1739130434782608,3.0547290660332944,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
20,20,"('36_2ecbplus.xml_41', '36_11ecbplus.xml_32')",1.0,0.2,1.0,0.0,1.0,1,0.7968296408653259,0.7617932558059692,0.7793114483356476,2.779311448335648,1.2,3.979311448335648,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1
21,21,"('36_2ecbplus.xml_41', '36_1ecbplus.xml_17')",1.0,0.25925925925925924,1.0,0.0,1.0,1,0.7628258466720581,0.7523507475852966,0.7575882971286774,2.7575882971286774,1.2592592592592593,4.016847556387937,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1
22,22,"('36_2ecbplus.xml_41', '36_1ecbplus.xml_54')",1.0,0.16666666666666666,1.0,0.0,0.0,1,0.7124829888343811,0.6743590235710144,0.6934210062026978,1.6934210062026978,1.1666666666666667,2.8600876728693647,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
23,23,"('36_2ecbplus.xml_41', '36_1ecbplus.xml_56')",1.0,0.17391304347826084,1.0,0.0,1.0,1,0.7441089153289795,0.7072273492813109,0.7256681323051453,2.7256681323051453,1.1739130434782608,3.8995811757834065,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
24,24,"('36_2ecbplus.xml_41', '36_2ecbplus.xml_40')",1.0,1.0,1.0,1.0,0.16666666666666666,1,0.8429087400436401,0.8432265520095825,0.8430676460266113,3.0097343126932783,3.0,6.009734312693277,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1
25,25,"('36_3ecbplus.xml_14', '36_2ecbplus.xml_16')",0.0,0.3333333333333333,1.0,0.0,0.15384615384615385,1,0.5763276815414429,0.6114329099655151,0.593880295753479,1.7477264495996327,0.3333333333333333,2.0810597829329662,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1
26,26,"('36_3ecbplus.xml_14', '36_2ecbplus.xml_39')",0.0,0.15,1.0,0.0,0.15384615384615385,1,0.4998531639575958,0.5613679885864258,0.5306105762720108,1.6844567301181643,0.15,1.8344567301181645,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1
27,27,"('36_3ecbplus.xml_15', '36_2ecbplus.xml_16')",0.0,0.14814814814814814,1.0,0.0,0.15384615384615385,1,0.5215813517570496,0.5163328051567078,0.5189570784568787,1.6728032323030324,0.14814814814814814,1.8209513804511803,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1
28,28,"('36_3ecbplus.xml_15', '36_2ecbplus.xml_39')",0.0,0.1176470588235294,1.0,0.0,0.15384615384615385,1,0.5424608588218689,0.6758867502212524,0.6091738045215607,1.7630199583677144,0.1176470588235294,1.880667017191244,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1
29,29,"('36_3ecbplus.xml_15', '36_3ecbplus.xml_14')",1.0,0.375,1.0,1.0,1.0,1,0.625838041305542,0.6277307868003845,0.6267844140529633,3.6267844140529633,2.375,6.001784414052963,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1
30,30,"('36_3ecbplus.xml_20', '36_1ecbplus.xml_18')",1.0,0.1891891891891892,1.0,0.0,1.0,1,0.6547250151634216,0.7031558156013489,0.6789404153823853,2.6789404153823853,1.1891891891891893,3.868129604571575,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1
31,31,"('36_3ecbplus.xml_83', '36_11ecbplus.xml_32')",1.0,0.26666666666666666,1.0,0.0,0.0,1,0.6124306917190552,0.6532146334648132,0.6328226625919342,1.6328226625919342,1.2666666666666666,2.8994893292586013,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
32,32,"('36_3ecbplus.xml_83', '36_1ecbplus.xml_17')",1.0,0.16,1.0,0.0,0.0,1,0.563626766204834,0.6171838641166687,0.5904053151607513,1.5904053151607511,1.16,2.7504053151607515,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
33,33,"('36_3ecbplus.xml_83', '36_1ecbplus.xml_54')",1.0,0.3333333333333333,1.0,0.0,0.0,1,0.729511559009552,0.7865820527076721,0.7580468058586121,1.7580468058586118,1.3333333333333333,3.0913801391919447,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
34,34,"('36_3ecbplus.xml_83', '36_1ecbplus.xml_56')",1.0,0.375,1.0,0.0,0.0,1,0.5767979621887207,0.6846267580986023,0.6307123601436615,1.6307123601436615,1.375,3.005712360143661,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
35,35,"('36_3ecbplus.xml_83', '36_2ecbplus.xml_40')",1.0,0.15,1.0,0.0,0.0,1,0.588603675365448,0.6840903759002686,0.6363470256328583,1.6363470256328585,1.15,2.7863470256328577,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
36,36,"('36_3ecbplus.xml_83', '36_2ecbplus.xml_41')",1.0,0.15,1.0,0.0,0.0,1,0.6046363711357117,0.7287697792053223,0.6667030751705171,1.666703075170517,1.15,2.816703075170517,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1
37,37,"('36_3ecbplus.xml_89', '36_11ecbplus.xml_32')",1.0,0.13333333333333333,1.0,0.0,1.0,1,0.7113048434257507,0.7920947074890137,0.7516997754573822,2.7516997754573818,1.1333333333333333,3.885033108790716,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
38,38,"('36_3ecbplus.xml_89', '36_1ecbplus.xml_17')",1.0,0.1891891891891892,1.0,0.0,1.0,1,0.6465982794761658,0.7352249026298523,0.690911591053009,2.690911591053009,1.1891891891891893,3.8801007802421994,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
39,39,"('36_3ecbplus.xml_89', '36_1ecbplus.xml_54')",1.0,0.14814814814814814,1.0,0.0,0.0,1,0.6700050830841064,0.6986433267593384,0.6843242049217224,1.6843242049217224,1.148148148148148,2.8324723530698703,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
40,40,"('36_3ecbplus.xml_89', '36_1ecbplus.xml_56')",1.0,0.27586206896551724,1.0,0.0,1.0,1,0.6334311962127686,0.7300841212272644,0.6817576587200165,2.6817576587200165,1.2758620689655171,3.957619727685534,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
41,41,"('36_3ecbplus.xml_89', '36_2ecbplus.xml_40')",1.0,0.1176470588235294,1.0,0.0,0.16666666666666666,1,0.6534332633018494,0.7454596757888794,0.6994464695453644,1.866113136212031,1.1176470588235294,2.9837601950355603,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1
42,42,"('36_3ecbplus.xml_89', '36_2ecbplus.xml_41')",1.0,0.1176470588235294,1.0,0.0,1.0,1,0.6761332154273987,0.7982645034790039,0.7371988594532013,2.7371988594532013,1.1176470588235294,3.8548459182767303,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1
43,43,"('36_3ecbplus.xml_89', '36_3ecbplus.xml_83')",1.0,0.375,1.0,1.0,0.0,1,0.7179778218269348,0.6989275813102722,0.7084527015686035,2.7084527015686035,2.375,5.083452701568604,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
44,44,"('36_3ecbplus.xml_94', '36_11ecbplus.xml_28')",1.0,0.10714285714285714,1.0,0.0,0.0,1,0.6221036911010742,0.5965065360069275,0.6093051135540009,1.6093051135540009,1.1071428571428572,2.716447970696858,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1
45,45,"('36_4ecbplus.xml_28', '36_11ecbplus.xml_89')",1.0,0.1875,1.0,0.0,1.0,1,0.6744941473007202,0.6804723739624023,0.6774832606315613,2.6774832606315613,1.1875,3.864983260631561,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
46,46,"('36_4ecbplus.xml_29', '36_11ecbplus.xml_31')",1.0,0.2222222222222222,1.0,0.0,1.0,1,0.7385548949241638,0.744283139705658,0.7414190173149109,2.741419017314911,1.2222222222222223,3.9636412395371337,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1
47,47,"('36_4ecbplus.xml_29', '36_1ecbplus.xml_16')",1.0,0.10344827586206896,1.0,0.0,1.0,1,0.6068944931030273,0.6719280481338501,0.6394112706184387,2.6394112706184387,1.1034482758620692,3.742859546480508,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
48,48,"('36_4ecbplus.xml_29', '36_1ecbplus.xml_55')",1.0,0.26666666666666666,1.0,0.0,1.0,1,0.486518919467926,0.486905038356781,0.4867119789123535,2.486711978912353,1.2666666666666666,3.7533786455790197,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1
49,49,"('36_4ecbplus.xml_29', '36_1ecbplus.xml_57')",1.0,0.19047619047619047,1.0,0.0,1.0,1,0.4464677572250366,0.4716441631317138,0.4590559601783752,2.4590559601783752,1.1904761904761905,3.6495321506545664,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1
50,50,"('36_4ecbplus.xml_33', '36_11ecbplus.xml_32')",1.0,0.2222222222222222,1.0,0.0,1.0,1,0.68131023645401,0.7195786237716675,0.7004444301128387,2.7004444301128387,1.2222222222222223,3.9226666523350606,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
51,51,"('36_4ecbplus.xml_33', '36_1ecbplus.xml_17')",1.0,0.10344827586206896,1.0,0.0,1.0,1,0.6390558481216431,0.6854257583618164,0.6622408032417297,2.6622408032417297,1.1034482758620692,3.765689079103799,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
52,52,"('36_4ecbplus.xml_33', '36_1ecbplus.xml_54')",1.0,0.26666666666666666,1.0,0.0,0.0,1,0.6414198875427246,0.6428804993629456,0.6421501934528351,1.642150193452835,1.2666666666666666,2.9088168601195017,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
53,53,"('36_4ecbplus.xml_33', '36_1ecbplus.xml_56')",1.0,0.19047619047619047,1.0,0.0,1.0,1,0.6189297437667847,0.6810020208358765,0.6499658823013306,2.6499658823013306,1.1904761904761905,3.840442072777521,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
54,54,"('36_4ecbplus.xml_33', '36_2ecbplus.xml_40')",1.0,0.13043478260869565,1.0,0.0,0.16666666666666666,1,0.6762721538543701,0.7402527928352356,0.7082624733448029,1.8749291400114692,1.1304347826086956,3.0053639226201647,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1
55,55,"('36_4ecbplus.xml_33', '36_2ecbplus.xml_41')",1.0,0.13043478260869565,1.0,0.0,1.0,1,0.6631224751472473,0.7488497495651245,0.7059861123561859,2.705986112356186,1.1304347826086956,3.836420894964881,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1
56,56,"('36_4ecbplus.xml_33', '36_3ecbplus.xml_83')",1.0,0.16666666666666666,1.0,0.0,0.0,1,0.6802054047584534,0.6765193939208984,0.6783623993396759,1.678362399339676,1.1666666666666667,2.8450290660063433,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
57,57,"('36_4ecbplus.xml_33', '36_3ecbplus.xml_89')",1.0,0.09090909090909093,1.0,0.0,1.0,1,0.6960583925247192,0.6981348395347595,0.6970966160297394,2.6970966160297394,1.0909090909090908,3.78800570693883,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
58,58,"('36_5ecbplus.xml_126', '36_2ecbplus.xml_104')",1.0,0.2857142857142857,1.0,0.0,1.0,1,0.8212215304374695,0.8459864854812622,0.8336040079593658,2.8336040079593663,1.2857142857142856,4.119318293673651,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
59,59,"('36_5ecbplus.xml_126', '36_2ecbplus.xml_107')",1.0,0.3181818181818182,1.0,0.0,1.0,1,0.8414478898048401,0.8193219304084778,0.8303849101066589,2.830384910106659,1.318181818181818,4.148566728288477,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
60,60,"('36_5ecbplus.xml_30', '36_2ecbplus.xml_16')",1.0,0.3181818181818182,1.0,0.0,0.8,1,0.7861181497573853,0.7873954176902771,0.7867567837238312,2.586756783723831,1.318181818181818,3.904938601905649,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
61,61,"('36_5ecbplus.xml_30', '36_2ecbplus.xml_39')",1.0,0.2857142857142857,1.0,0.0,0.8,1,0.6156373620033264,0.6392282843589783,0.6274328231811523,2.4274328231811517,1.2857142857142856,3.7131471088954378,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1
62,62,"('36_5ecbplus.xml_30', '36_3ecbplus.xml_14')",0.0,0.24,1.0,0.0,0.15384615384615385,1,0.5497791767120361,0.5321832299232483,0.5409812033176422,1.6948273571637957,0.24,1.9348273571637957,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1
63,63,"('36_5ecbplus.xml_30', '36_3ecbplus.xml_15')",0.0,0.2777777777777778,1.0,0.0,0.15384615384615385,1,0.5533028841018677,0.4736071825027466,0.5134550333023071,1.6673011871484609,0.2777777777777778,1.9450789649262383,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1
64,64,"('36_5ecbplus.xml_31', '36_1ecbplus.xml_14')",0.0,0.1153846153846154,1.0,0.0,0.1176470588235294,1,0.5443211793899536,0.5618892312049866,0.5531052052974701,1.6707522641209995,0.1153846153846154,1.786136879505615,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1
65,65,"('36_5ecbplus.xml_31', '36_1ecbplus.xml_15')",0.0,0.16666666666666666,1.0,0.0,0.1176470588235294,1,0.4755043685436249,0.5413539409637451,0.508429154753685,1.6260762135772144,0.16666666666666666,1.7927428802438812,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1
66,66,"('36_5ecbplus.xml_33', '36_11ecbplus.xml_32')",1.0,0.10344827586206896,1.0,0.0,1.0,1,0.6714705228805542,0.6590914130210876,0.6652809679508209,2.665280967950821,1.1034482758620692,3.76872924381289,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
67,67,"('36_5ecbplus.xml_33', '36_1ecbplus.xml_17')",1.0,0.13513513513513514,1.0,0.0,1.0,1,0.6180959939956665,0.6008405089378357,0.6094682514667511,2.609468251466751,1.135135135135135,3.744603386601886,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
68,68,"('36_5ecbplus.xml_33', '36_1ecbplus.xml_54')",1.0,0.1153846153846154,1.0,0.0,0.0,1,0.6654112935066223,0.6178631782531738,0.6416372358798981,1.641637235879898,1.1153846153846154,2.757021851264513,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
69,69,"('36_5ecbplus.xml_33', '36_1ecbplus.xml_56')",1.0,0.16666666666666666,1.0,0.0,1.0,1,0.640821635723114,0.6177437901496887,0.6292827129364014,2.6292827129364014,1.1666666666666667,3.795949379603068,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
70,70,"('36_5ecbplus.xml_33', '36_2ecbplus.xml_40')",1.0,0.2857142857142857,1.0,0.0,0.16666666666666666,1,0.6827443242073059,0.7113932967185974,0.6970688104629517,1.8637354771296184,1.2857142857142856,3.149449762843904,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
71,71,"('36_5ecbplus.xml_33', '36_2ecbplus.xml_41')",1.0,0.2857142857142857,1.0,0.0,1.0,1,0.654184877872467,0.7238027453422546,0.6889938116073608,2.688993811607361,1.2857142857142856,3.9747080973216464,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1
72,72,"('36_5ecbplus.xml_33', '36_3ecbplus.xml_83')",1.0,0.24,1.0,0.0,0.0,1,0.6714654564857483,0.6347792744636536,0.6531223654747009,1.653122365474701,1.24,2.893122365474701,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
73,73,"('36_5ecbplus.xml_33', '36_3ecbplus.xml_89')",1.0,0.2777777777777778,1.0,0.0,1.0,1,0.6817596554756165,0.6464707255363464,0.6641151905059814,2.664115190505981,1.2777777777777777,3.9418929682837587,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
74,74,"('36_5ecbplus.xml_33', '36_4ecbplus.xml_33')",1.0,0.1724137931034483,1.0,0.0,1.0,1,0.7986304759979248,0.7919501662254333,0.7952903211116791,2.795290321111679,1.1724137931034484,3.967704114215128,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
75,75,"('36_5ecbplus.xml_35', '36_1ecbplus.xml_18')",0.0,0.13513513513513514,1.0,0.0,0.2222222222222222,1,0.5962949395179749,0.4827767312526703,0.5395358353853226,1.761758057607545,0.13513513513513514,1.89689319274268,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1
76,76,"('36_5ecbplus.xml_35', '36_3ecbplus.xml_20')",0.0,0.2777777777777778,1.0,0.0,0.2222222222222222,1,0.6393178701400757,0.5644770264625549,0.6018974483013153,1.8241196705235376,0.2777777777777778,2.1018974483013158,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1
77,77,"('36_5ecbplus.xml_51', '36_4ecbplus.xml_27')",0.0,0.09090909090909093,1.0,0.0,0.5882352941176471,1,0.7058581709861755,0.5678457021713257,0.6368519365787506,2.225087230696398,0.09090909090909093,2.3159963216054886,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1
78,78,"('36_5ecbplus.xml_53', '36_11ecbplus.xml_59')",1.0,0.17647058823529413,1.0,0.0,1.0,1,0.7187011837959291,0.7535439133644104,0.7361225485801697,2.7361225485801697,1.1764705882352942,3.912593136815464,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
79,79,"('36_6ecbplus.xml_21', '36_2ecbplus.xml_16')",0.0,0.16666666666666666,1.0,0.0,0.15384615384615385,1,0.6617220044136047,0.5987080931663513,0.630215048789978,1.7840612026361318,0.16666666666666666,1.9507278693027983,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1
80,80,"('36_6ecbplus.xml_21', '36_2ecbplus.xml_39')",0.0,0.16666666666666666,1.0,0.0,0.15384615384615385,1,0.5037629604339601,0.5445659160614014,0.5241644382476807,1.6780105920938344,0.16666666666666666,1.8446772587605007,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1
81,81,"('36_6ecbplus.xml_21', '36_3ecbplus.xml_14')",1.0,0.6,1.0,0.0,1.0,1,0.7259621620178223,0.593001663684845,0.6594819128513336,2.6594819128513336,1.6,4.259481912851333,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
82,82,"('36_6ecbplus.xml_21', '36_3ecbplus.xml_15')",1.0,0.24,1.0,0.0,1.0,1,0.6706655621528625,0.6166386604309082,0.6436521112918854,2.6436521112918854,1.24,3.8836521112918856,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
83,83,"('36_6ecbplus.xml_21', '36_5ecbplus.xml_30')",0.0,0.16,1.0,0.0,0.15384615384615385,1,0.5733202695846558,0.5939881801605225,0.5836542248725891,1.7375003787187429,0.16,1.8975003787187428,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1
